Aproveitamento Hidráulico;Source;Lat;Lon;Capacity_Web;Código da massa de água;Data CC - Início;Data CC - Termo;Designação da Massa de água;Finalidade CC;Match_Method;N.º Contrato Concessão (CC);OSM_ID;Operator_Web;Outros Usos albufeira;RH;Região hidrográfica;Web_Name;﻿Bacia Hidrográfica
Monte da Rocha;APA;;;;PT06SAD1361;30/09/2011;31/12/2030;Albufeira Monte da Rocha;Rega;;CC N.º 3/CSB/SD/2011 de 30.09.2011;;;Abastecimento público - CC;RH6;Sado e Mira;;Sado
Monte Gato;APA;;;;PT06SAD1357;30/09/2011;31/12/2030;Ribeira da Ferraria;Rega;;CC N.º 3/CSB/SD/2011 de 30.09.2011;;;-;RH6;Sado e Mira;;Sado
Monte Miguéis;APA;;;;PT06SAD1357;30/09/2011;31/12/2030;Ribeira da Ferraria;Rega;;CC N.º 3/CSB/SD/2011 de 30.09.2011;;;-;RH6;Sado e Mira;;Sado
Odivelas;Both;38.2193977;-8.0587929;2.5 MW;PT06SAD1290;29/10/2013;31/12/2030;Albufeira de Odivelas;Rega;Substring;CC N.º 2/CSP/SD/2013 de 29.10.2013;600784274;Energias de Portugal;Energia;RH6;Sado e Mira;Central Mini-Hídrica de Odivelas;Sado
Pego do Altar;APA;;;;PT06SAD1235;27/10/2011;31/12/2030;Albufeira de Pego do Altar;Rega;;CC N.º 9/CSP/SD/2011 de 27.10.2011;;;Energia;RH6;Sado e Mira;;Sado
Penedrão;APA;;;;PT06SAD1309C;17/10/2007;16/10/2082;Albufeira de Penedrão;Rega;;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";;;-;RH6;Sado e Mira;;Sado
Pisão;Both;38.080337;-7.9773629;0.6 MW;PT06SAD1303A;17/10/2007;16/10/2082;Albufeira do Pisão;Rega;Exact;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";540796391;Energias de Portugal;Energia;RH6;Sado e Mira;Central Hidroelétrica do Pisão;Sado
Roxo;Both;37.9301519;-8.0813695;1.7 MW;PT06SAD1331;27/10/2011;31/12/2030;Albufeira do Roxo;Rega;Exact;CC N.º 7/CSB/SD/2011;1227857393;Empresa de Desenvolvimento e Infra-estruturas do Alqueva;"Abastecimento público - CC;
Industrial; Energia";RH6;Sado e Mira;Aproveitamento Hidroelétrico do Roxo;Sado
Vale do Gaio;Both;38.2474868;-8.2968982;1 MW;PT06SAD1276;27/10/2011;31/12/2030;"Albufeira Trigo de Morais - Vale
do Gaio";Rega;Exact;CC N.º 9/CSP/SD/2011 de 27.10.2011;540861354;Direção-Geral de Agricultura e Desenvolvimento Rural;Energia;RH6;Sado e Mira;Aproveitamento Hidroelétrico de Vale do Gaio;Sado
Abrilongo;APA;;;;PT07GUA1407;16/11/2012;31/12/2030;Albufeira de Abrilongo;Rega;;CC N.º 8/CSP/GD/2012 de 16.11.2012;;;-;RH7;Guadiana;;Guadiana
Álamos I;APA;;;;PT07GUA1487G;17/10/2007;16/10/2082;"Sistema de Albufeiras Álamo I
e II";Rega;;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";;;-;RH7;Guadiana;;Guadiana
Álamos II;APA;;;;PT07GUA1487G;17/10/2007;16/10/2082;"Sistema de Albufeiras Álamo I
e II";Rega;;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";;;-;RH7;Guadiana;;Guadiana
Álamos III;APA;;;;PT07GUA1487B;17/10/2007;16/10/2082;"Albufeira de Alqueva (Braço
Degebe)";Rega;;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";;;-;RH7;Guadiana;;Guadiana
Almeidas;APA;;;;PT07GUA1509A;17/10/2007;16/10/2082;Albufeira de São Pedro;Rega;;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";;;-;RH7;Guadiana;;Guadiana
Alqueva;Both;38.1967615;-7.4961577;255.6 MW;PT07GUA1487A;17/10/2007;16/10/2082;Albufeira de Alqueva (Principal);Rega;Substring;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";805120230;Energias de Portugal;"Abastecimento público - CC;
Energia; Balnear/Lazer";RH7;Guadiana;Central Hidroelétrica do Alqueva I;Guadiana
Amendoeira;APA;;;;PT07GUA1509A;17/10/2007;16/10/2082;Albufeira de São Pedro;Rega;;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";;;-;RH7;Guadiana;;Guadiana
Amoreira;APA;;;;PT07GUA1515C;17/10/2007;16/10/2082;Albufeira da Amoreira;Rega;;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";;;Energia;RH7;Guadiana;;Guadiana
Beliche;APA;;;;PT07GUA1624;25/02/2022;31/12/2048;Albufeira de Beliche;Rega;;"CC N.º  7/APA/ARHAlgarve/2012; CC
1/EFM/2021 de 25.1.2022";;;-;RH7;Guadiana;;Guadiana
Brinches;APA;;;;PT07GUA1520B;17/10/2007;16/10/2082;Albufeira de Brinches;Rega;;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";;;Energia;RH7;Guadiana;;Guadiana
Caia;Both;39.0003528;-7.1439503;0.6 MW;PT07GUA1422;16/11/2012;31/12/2030;Albufeira do Caia;Rega;Exact;CC N.º 6/CSB/GD/2012 de 16.11.2012;188127030;Associação de Beneficiários do Caia;"Abastecimento público - CC;
Energia";RH7;Guadiana;Aproveitamento Hidroelétrico do Caia;Guadiana
Caliços;APA;;;;PT07GUA1500;17/10/2007;16/10/2082;Ribeira Vale de Cervas;Rega;;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";;;-;RH7;Guadiana;;Guadiana
Furta Galinhas;APA;;;;PT07GUA1502;17/10/2007;16/10/2082;Ribeira de Brenhas;Rega;;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";;;-;RH7;Guadiana;;Guadiana
Laje;APA;;;;PT07GUA1527A;17/10/2007;16/10/2082;Albufeira da Laje;Rega;;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";;;-;RH7;Guadiana;;Guadiana
Loureiro;APA;;;;PT07GUA1473C;17/10/2007;16/10/2082;Albufeira do Loureiro;Rega;;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";;;-;RH7;Guadiana;;Guadiana
Lucefecit;APA;;;;PT07GUA1441;27/11/2011;31/12/2030;Albufeira de Lucefecit;Rega;;CC N.º 4/CSB/SD/2011 de 27.10.2011;;;-;RH7;Guadiana;;Guadiana
Magra;APA;;;;PT07GUA1534A;17/10/2007;16/10/2082;Ribeira da Cardeira;Rega;;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";;;Abastecimento público - CC;RH7;Guadiana;;Guadiana
Monte Novo;APA;;;;PT07GUA1458A;06/08/2010;13/03/2033;Albufeira do Monte Novo;Rega;;CC N.º 1/CSP/GD/2010 de 6.8.2010;;;-;RH7;Guadiana;;Guadiana
Odeleite;APA;;;;PT07GUA1618;25/02/2022;31/12/2048;Albufeira de Odeleite;Rega;;"CC N.º 3/APA/ARHAlgarve/2012; CC N.º
1/EFM/2021 de 25.1.2022";;;"Abastecimento público - CC;
Balnear";RH7;Guadiana;;Guadiana
Pedrógão;Both;38.1096891;-7.6286184;10 MW;PT07GUA1513;17/10/2007;16/10/2082;Albufeira de Pedrogão;Rega;Exact;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";159043937;Energias de Portugal;"Energia; lazer";RH7;Guadiana;Central Hidroelétrica de Pedrógão;Guadiana
Pias;APA;;;;PT07GUA1515B2;17/10/2007;16/10/2082;Albufeira de Pias;Rega;;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";;;-;RH7;Guadiana;;Guadiana
São Pedro;APA;;;;PT07GUA1509A;17/10/2007;16/10/2082;Albufeira de São Pedro;Rega;;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";;;Energia;RH7;Guadiana;;Guadiana
Selmes;APA;;;;PT07GUA1506;17/10/2007;16/10/2082;Barranco da Cabrita;Rega;;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";;;-;RH7;Guadiana;;Guadiana
Serpa;Both;37.993297;-7.6058128;1.7 MW;PT07GUA1531B;17/10/2007;16/10/2082;Albufeira de Serpa;Rega;Exact;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";1160475196;Energias de Portugal;Energia;RH7;Guadiana;Aproveitamento Hidroelétrico de Serpa;Guadiana
Vigia;APA;;;;PT07GUA1455;16/11/2012;31/12/2030;Albufeira da Vigia;Rega;;CC N.º 7/CSB/GD/2012 de 16.11.2012;;;Abastecimento público - CC;RH7;Guadiana;;Guadiana
Arade;APA;;;;PT08RDA1669;16/11/2012;31/12/2030;Albufeira do Arade;Rega;;CC N.º 2/APA/ARHAlgarve/2012;;;Energia;RH8;Ribeiras do Algarve;;"Ribeiras do
Algarve"
Bravura (Odeáxere);APA;;;;PT08RDA1679;16/11/2012;10/03/2031;Albufeira de Odiáxere - Bravura;Rega;;CC N.º 1/APA/ARHAlgarve/2012;;;"Abastecimento público - CC;
Energia";RH8;Ribeiras do Algarve;;"Ribeiras do
Algarve"
Central Hidroelétrica do Baixo Sabor - Escalão de Jusante;OpenInfraMap;41.2031419;-7.0945755;38 MW;;;;;Energia (Assumed);;;244605022;Movhera;;;;Central Hidroelétrica do Baixo Sabor - Escalão de Jusante;
Central Hidroelétrica de Pretarouca;OpenInfraMap;41.0495368;-7.866625;1.75 MW;;;;;Energia (Assumed);;;361337137;Águas de Trás-os-Montes e Alto Douro;;;;Central Hidroelétrica de Pretarouca;
Central Hidroelétrica de Ponte da Esperança;OpenInfraMap;41.5769175;-8.1680431;2.8 MW;;;;;Energia (Assumed);;;817137223;Energias de Portugal;;;;Central Hidroelétrica de Ponte da Esperança;
Aproveitamento Hidrolétrico de Covas do Barroso;OpenInfraMap;41.6305353;-7.7949353;6.6 MW;;;;;Energia (Assumed);;;891463551;HIDROERG;;;;Aproveitamento Hidrolétrico de Covas do Barroso;
Central Hidroelétrica de Vilar-Tabuaço;OpenInfraMap;41.1133574;-7.5516289;58 MW;;;;;Energia (Assumed);;;1227180209;Energias de Portugal;;;;Central Hidroelétrica de Vilar-Tabuaço;
Aproveitamento Hidroelétrico do Amieiro/Galego;OpenInfraMap;41.3735676;-8.4142066;1.2 MW;;;;;Energia (Assumed);;;1227604665;TERMOLAN;;;;Aproveitamento Hidroelétrico do Amieiro/Galego;
Aproveitamento Hidroelétrico da Fábrica Têxtil de Vizela;OpenInfraMap;41.3759755;-8.327753;1.2 MW;;;;;Energia (Assumed);;;1227604668;HIDROVIZ;;;;Aproveitamento Hidroelétrico da Fábrica Têxtil de Vizela;
Aproveitamento Hidroelétrico dos Tecidos do Ferro;OpenInfraMap;41.4357926;-8.176132;0.8 MW;;;;;Energia (Assumed);;;1227616876;Companhia de Fiação e Tecidos do Ferro;;;;Aproveitamento Hidroelétrico dos Tecidos do Ferro;
Central Hidroelétrica de Ribafeita;OpenInfraMap;40.7620198;-7.9779881;0.9 MW;;;;;Energia (Assumed);;;1233919212;Energias de Portugal;;;;Central Hidroelétrica de Ribafeita;
Mini Central Hidroelétrica - ETA da Asseiceira;OpenInfraMap;39.514903;-8.4271215;1.5 MW;;;;;Energia (Assumed);;;1236127642;Empresa Portuguesa das Águas Livres;;;;Mini Central Hidroelétrica - ETA da Asseiceira;
Central Hidroelétrica da Velada;OpenInfraMap;39.591364;-7.7092067;2 MW;;;;;Energia (Assumed);;;205580598;Energias de Portugal;;;;Central Hidroelétrica da Velada;
Aproveitamento Hidroelétrico de Janeiro de Cima / Porto das Vacas;OpenInfraMap;40.0773449;-7.7960212;7.9 MW;;;;;Energia (Assumed);;;244113494;Hidroeléctrica do Zêzere;;;;Aproveitamento Hidroelétrico de Janeiro de Cima / Porto das Vacas;
Central Hidroéletrica Sabugal-Meimoa;OpenInfraMap;40.268491;-7.1010363;5.7 MW;;;;;Energia (Assumed);;;326119082;Direção-Geral de Agricultura e Desenvolvimento Rural;;;;Central Hidroéletrica Sabugal-Meimoa;
Central Hidroelétrica do Alqueva II;OpenInfraMap;38.1939738;-7.4968286;255.6 MW;;;;;Energia (Assumed);;;648169310;Energias de Portugal;;;;Central Hidroelétrica do Alqueva II;
Central Hidroelétrica de Alva;OpenInfraMap;40.2936602;-7.9248562;1.622 MW;;;;;Energia (Assumed);;;1003407059;Hidroelétrica do Alva, Lda.;;;;Central Hidroelétrica de Alva;
Central Hidroelétrica de Miranda II;OpenInfraMap;41.4881472;-6.2670631;189 MW;;;;;Energia (Assumed);;;1226928891;Movhera;;;;Central Hidroelétrica de Miranda II;
Aproveitamento Hidroelétrico da Câmara de Manteigas;OpenInfraMap;40.3955757;-7.5389453;0.1 MW;;;;;Energia (Assumed);;;1227645252;Câmara Municipal de Manteigas;;;;Aproveitamento Hidroelétrico da Câmara de Manteigas;
Aproveitamento Hidroelétrico de Gimonde;OpenInfraMap;41.8002678;-6.693395;0.2 MW;;;;;Energia (Assumed);;;1227829992;Câmara Municipal de Bragança;;;;Aproveitamento Hidroelétrico de Gimonde;
Aproveitamento Hidroelétrico do Monte Redondo;OpenInfraMap;40.140018;-8.110853;0.523 MW;;;;;Energia (Assumed);;;1227840426;GESTHIDRO;;;;Aproveitamento Hidroelétrico do Monte Redondo;
Central Mini-Hídrica de Serpa;OpenInfraMap;37.9959208;-7.5750485;1.5 MW;;;;;Energia (Assumed);;;1318882994;;;;;Central Mini-Hídrica de Serpa;
Central Hidroelétrica de Queimadela;OpenInfraMap;41.5033294;-8.1634776;20 MW;;;;;Energia (Assumed);;;1324733345;;;;;Central Hidroelétrica de Queimadela;
Aproveitamento Hidroelétrico do Azival;OpenInfraMap;40.760368;-8.0437314;8.2 MW;;;;;Energia (Assumed);;;380519061;Hidrocentrais Reunidas;;;;Aproveitamento Hidroelétrico do Azival;
Aproveitamento Hidroelétrico do Montezinho;OpenInfraMap;41.9376382;-6.7752341;1.4 MW;;;;;Energia (Assumed);;;445324165;Câmara Municipal de Bragança;;;;Aproveitamento Hidroelétrico do Montezinho;
Central Hidroelétrica de Bouçoais-Sonim;OpenInfraMap;41.7173222;-7.2048071;10 MW;;;;;Energia (Assumed);;;451641071;Aquila Capital;;;;Central Hidroelétrica de Bouçoais-Sonim;
Mini-hídrica da Fábrica de Fiação de Tecidos do Bairro;OpenInfraMap;41.3681486;-8.4202839;;;;;;Energia (Assumed);;;823561092;Fábrica de Fiação e Tecidos de Bairro;;;;Mini-hídrica da Fábrica de Fiação de Tecidos do Bairro;
Central Hidroelétrica do Guilhofrei;OpenInfraMap;41.5857365;-8.138368;4 MW;;;;;Energia (Assumed);;;1227427680;Energias de Portugal;;;;Central Hidroelétrica do Guilhofrei;
Aproveitamento Hidroelétrico do Palmaz;OpenInfraMap;40.7933961;-8.4561066;0.5 MW;;;;;Energia (Assumed);;;1227770838;Hidrorecursos;;;;Aproveitamento Hidroelétrico do Palmaz;
Aproveitamento Hidroelétrico de Drizes;OpenInfraMap;40.7462276;-8.065064;0.2 MW;;;;;Energia (Assumed);;;1227779481;Energias de Portugal;;;;Aproveitamento Hidroelétrico de Drizes;
Aproveitamento Hidroelétrico de Safrujo;OpenInfraMap;40.0170777;-8.195873;0.5 MW;;;;;Energia (Assumed);;;1227840427;Sociedade para o Desenvolvimento de Castanheira de Pêra SA;;;;Aproveitamento Hidroelétrico de Safrujo;
Central Hidroelétrica de Salamonde I;OpenInfraMap;41.6902607;-8.0923443;41 MW;;;;;Energia (Assumed);;;1426280013;Energias de Portugal;;;;Central Hidroelétrica de Salamonde I;
Aproveitamento Hidroelétrico dos Coucinhos;OpenInfraMap;40.2721638;-7.6189776;3 MW;;;;;Energia (Assumed);;;191457515;HIDROCORGO;;;;Aproveitamento Hidroelétrico dos Coucinhos;
Central Hidroelétrica de Sabugueiro I & II;OpenInfraMap;40.3966985;-7.662498;22.5 MW;;;;;Energia (Assumed);;;252112757;Energias de Portugal;;;;Central Hidroelétrica de Sabugueiro I & II;
Aproveitamento Hidroelétrico da Bugalheira;OpenInfraMap;37.5497692;-8.7128919;1.4 MW;;;;;Energia (Assumed);;;292168449;Associação de Beneficiários do Mira;;;;Aproveitamento Hidroelétrico da Bugalheira;
Central Hidroelétrica do Baixo Sabor - Escalão de Montante;OpenInfraMap;41.2280048;-7.0144694;144 MW;;;;;Energia (Assumed);;;449923115;Movhera;;;;Central Hidroelétrica do Baixo Sabor - Escalão de Montante;
Central Hidroelétrica de Frades I;OpenInfraMap;41.6838212;-8.0175278;191.4 MW;;;;;Energia (Assumed);;;455366572;Energias de Portugal;;;;Central Hidroelétrica de Frades I;
Central Hidroelétrica de Bruceira;OpenInfraMap;39.526474;-7.6101976;1.7 MW;;;;;Energia (Assumed);;;455366610;Energias de Portugal;;;;Central Hidroelétrica de Bruceira;
Central Hidroelétrica do Ermal;OpenInfraMap;41.5781624;-8.1527885;10 MW;;;;;Energia (Assumed);;;817129809;Energias de Portugal;;;;Central Hidroelétrica do Ermal;
Central Hidroelétrica do Pateiro;OpenInfraMap;40.5269879;-7.3410234;0.34 MW;;;;;Energia (Assumed);;;1110721743;Energias de Portugal;;;;Central Hidroelétrica do Pateiro;
Aproveitamento Hidroelétrico de Ermida;OpenInfraMap;40.0997127;-8.2338937;8 MW;;;;;Energia (Assumed);;;1127623768;Energias de Portugal;;;;Aproveitamento Hidroelétrico de Ermida;
Central Hidroelétrica do Lindoso;OpenInfraMap;41.8592316;-8.270213;44.1 MW;;;;;Energia (Assumed);;;1226536007;Energias de Portugal;;;;Central Hidroelétrica do Lindoso;
Aproveitamento Hidroelétrico de Figueiral;OpenInfraMap;40.5592672;-8.1611456;0.2 MW;;;;;Energia (Assumed);;;1227795216;Aquila Capital;;;;Aproveitamento Hidroelétrico de Figueiral;
Central Hidroelétrica de Senhorim;OpenInfraMap;40.5270406;-7.8222412;0.883 MW;;;;;Energia (Assumed);;;1227795222;Mini-Hídrica de Senhorim, Lda.;;;;Central Hidroelétrica de Senhorim;
Aproveitamento Hidroelétrico da Peneda;OpenInfraMap;41.6629654;-7.5795518;0.6 MW;;;;;Energia (Assumed);;;1227829990;Hidroeléctrica Cova do Vale;;;;Aproveitamento Hidroelétrico da Peneda;
Aproveitamento Hidroelétrico do Prado Novo;OpenInfraMap;41.9020092;-6.7388619;2.9 MW;;;;;Energia (Assumed);;;1227829993;Câmara Municipal de Bragança;;;;Aproveitamento Hidroelétrico do Prado Novo;
Central Hidroelétrica da Ermida;OpenInfraMap;40.7142176;-8.3534437;7 MW;;;;;Energia (Assumed);;;1233931383;Energias de Portugal;;;;Central Hidroelétrica da Ermida;
Central Hidroelétrica de Serra Serrada;OpenInfraMap;41.9589972;-6.7755979;3.4 MW;;;;;Energia (Assumed);;;1434837282;Câmara Municipal de Bragança;;;;Central Hidroelétrica de Serra Serrada;
Central Hidroelétrica de Póvoa;OpenInfraMap;39.47865;-7.5539864;0.8 MW;;;;;Energia (Assumed);;;412959310;Energias de Portugal;;;;Central Hidroelétrica de Póvoa;
Central Hidroelétrica de Frades II;OpenInfraMap;41.6810976;-8.0206857;736 MW;;;;;Energia (Assumed);;;455366583;Energias de Portugal;;;;Central Hidroelétrica de Frades II;
Central Hidroelétrica da Senhora do Porto;OpenInfraMap;41.5558159;-8.2189766;8.8 MW;;;;;Energia (Assumed);;;455366592;Energias de Portugal;;;;Central Hidroelétrica da Senhora do Porto;
Aproveitamento Hidroelétrico de Riba Côa;OpenInfraMap;40.7022188;-6.9305335;0.1 MW;;;;;Energia (Assumed);;;736488095;Energias de Portugal;;;;Aproveitamento Hidroelétrico de Riba Côa;
Aproveitamento Hidroelétrico da Mesa do Galo I & II;OpenInfraMap;41.6647984;-7.9804595;2.1 MW;;;;;Energia (Assumed);;;1227616912;Caboareal;;;;Aproveitamento Hidroelétrico da Mesa do Galo I & II;
Aproveitamento Hidroelétrico de Padrastos;OpenInfraMap;40.8493821;-8.3664014;0.2 MW;;;;;Energia (Assumed);;;1227770834;Central Hidroeléctrica do Caima;;;;Aproveitamento Hidroelétrico de Padrastos;
Reservatório R6 - Carvoeiro;OpenInfraMap;40.6082677;-8.6082862;85 kW;;;;;Energia (Assumed);;;1227795221;SPHERAA;;;;Reservatório R6 - Carvoeiro;
Central Hidroelétrica de Picote II;OpenInfraMap;41.3800609;-6.353239;241 MW;;;;;Energia (Assumed);;;19455283;Movhera;;;;Central Hidroelétrica de Picote II;
Central Hidroelétrica da Bemposta I;OpenInfraMap;41.3018124;-6.4718881;238 MW;;;;;Energia (Assumed);;;19472397;Movhera;;;;Central Hidroelétrica da Bemposta I;
Central Hidroelétrica de Miranda I;OpenInfraMap;41.4885123;-6.265234;180 MW;;;;;Energia (Assumed);;;19549760;Movhera;;;;Central Hidroelétrica de Miranda I;
